medalist_name,sport_gender,medal,gender,sport
José Luis Abajo,male_fencing,bronze,male,Fencing
Julien Pillet,male_fencing,gold,male,Fencing
Jérôme Jeannet,male_fencing,gold,male,Fencing
Keeth Smart,male_fencing,silver,male,Fencing
Luigi Tarantino,male_fencing,bronze,male,Fencing
Matteo Tagliariol,male_fencing,gold,male,Fencing
Mihai Covaliu,male_fencing,bronze,male,Fencing
Nicolas Lopez,male_fencing,silver,male,Fencing
Radosław Zawrotniak,male_fencing,silver,male,Fencing
Robert Andrzejuk,male_fencing,silver,male,Fencing
Salvatore Sanzo,male_fencing,bronze,male,Fencing
Stefano Carozzo,male_fencing,bronze,male,Fencing
Tim Morehouse,male_fencing,silver,male,Fencing
Tomasz Motyka,male_fencing,silver,male,Fencing
Ulrich Robeiri,male_fencing,gold,male,Fencing
Yūki Ōta,male_fencing,silver,male,Fencing
Zhong Man,male_fencing,gold,male,Fencing
Aida Shanayeva,female_fencing,gold,female,Fencing
Ana Maria Popescu,female_fencing,silver,female,Fencing
Bao Yingying,female_fencing,silver,female,Fencing
Britta Heidemann,female_fencing,gold,female,Fencing
Emily Cross,female_fencing,silver,female,Fencing
Erinn Smart,female_fencing,silver,female,Fencing
Giovanna Trillini,female_fencing,bronze,female,Fencing
Halyna Pundyk,female_fencing,gold,female,Fencing
Hanna Thompson,female_fencing,silver,female,Fencing
Huang Haiyang,female_fencing,silver,female,Fencing
Ilaria Salvatori,female_fencing,bronze,female,Fencing
Ildikó Mincza-Nébald,female_fencing,bronze,female,Fencing
Margherita Granbassi,female_fencing,bronze,female,Fencing
Mariel Zagunis,female_fencing,gold,female,Fencing
Nam Hyun-Hee,female_fencing,silver,female,Fencing
Ni Hong,female_fencing,silver,female,Fencing
Olena Khomrova,female_fencing,gold,female,Fencing
Olha Kharlan,female_fencing,gold,female,Fencing
Olha Zhovnir,female_fencing,gold,female,Fencing
Rebecca Ward,female_fencing,bronze,female,Fencing
Sada Jacobson,female_fencing,silver,female,Fencing
Svetlana Boiko,female_fencing,gold,female,Fencing
Tan Xue,female_fencing,silver,female,Fencing
Valentina Vezzali,female_fencing,gold,female,Fencing
Viktoria Nikishina,female_fencing,gold,female,Fencing
Yevgeniya Lamonova,female_fencing,gold,female,Fencing
Albert Sala,male_field hockey,silver,male,Field Hockey
Alex Fàbregas,male_field hockey,silver,male,Field Hockey
Andrew Smith,male_field hockey,bronze,male,Field Hockey
Benjamin Weß,male_field hockey,gold,male,Field Hockey
Bevan George,male_field hockey,bronze,male,Field Hockey
Carlos Nevado,male_field hockey,gold,male,Field Hockey
Christopher Zeller,male_field hockey,gold,male,Field Hockey
David Alegre,male_field hockey,silver,male,Field Hockey
David Guest,male_field hockey,bronze,male,Field Hockey
Des Abbott,male_field hockey,bronze,male,Field Hockey
Eddie Ockenden,male_field hockey,bronze,male,Field Hockey
Eduard Arbós,male_field hockey,silver,male,Field Hockey
Eduard Tubau,male_field hockey,silver,male,Field Hockey
Eli Matheson,male_field hockey,bronze,male,Field Hockey
Fergus Kavanagh,male_field hockey,bronze,male,Field Hockey
Florian Keller,male_field hockey,gold,male,Field Hockey
Francisco Cortés,male_field hockey,silver,male,Field Hockey
Francisco Fábregas Monegal,male_field hockey,silver,male,Field Hockey
Grant Schubert,male_field hockey,bronze,male,Field Hockey
Jamie Dwyer,male_field hockey,bronze,male,Field Hockey
Jan-Marco Montag,male_field hockey,gold,male,Field Hockey
Juan Fernández La Villa,male_field hockey,silver,male,Field Hockey
Kiel Brown,male_field hockey,bronze,male,Field Hockey
Liam de Young,male_field hockey,bronze,male,Field Hockey
Luke Doerner,male_field hockey,bronze,male,Field Hockey
Mark Knowles,male_field hockey,bronze,male,Field Hockey
Matthew Wells,male_field hockey,bronze,male,Field Hockey
Matthias Witthaus,male_field hockey,gold,male,Field Hockey
Max Weinhold,male_field hockey,gold,male,Field Hockey
Maximilian Müller,male_field hockey,gold,male,Field Hockey
Moritz Fürste,male_field hockey,gold,male,Field Hockey
Niklas Meinert,male_field hockey,gold,male,Field Hockey
Oliver Korn,male_field hockey,gold,male,Field Hockey
Philip Witte,male_field hockey,gold,male,Field Hockey
Philipp Zeller,male_field hockey,gold,male,Field Hockey
Pol Amat,male_field hockey,silver,male,Field Hockey
Ramón Alegre,male_field hockey,silver,male,Field Hockey
Robert Hammond,male_field hockey,bronze,male,Field Hockey
Roc Oliva,male_field hockey,silver,male,Field Hockey
Rodrigo Garza,male_field hockey,silver,male,Field Hockey
Santi Freixa,male_field hockey,silver,male,Field Hockey
Sebastian Biederlack,male_field hockey,gold,male,Field Hockey
Sergi Enrique,male_field hockey,silver,male,Field Hockey
Stephen Lambert,male_field hockey,bronze,male,Field Hockey
Tibor Weißenborn,male_field hockey,gold,male,Field Hockey
Timo Weß,male_field hockey,gold,male,Field Hockey
Tobias Hauke,male_field hockey,gold,male,Field Hockey
Travis Brooks,male_field hockey,bronze,male,Field Hockey
Víctor Sojo,male_field hockey,silver,male,Field Hockey
Xavier Ribas,male_field hockey,silver,male,Field Hockey
Alejandra Gulla,female_field hockey,bronze,female,Field Hockey
Belén Succi,female_field hockey,bronze,female,Field Hockey
Carla Rebecchi,female_field hockey,bronze,female,Field Hockey
Chen Qiuqi,female_field hockey,silver,female,Field Hockey
Chen Zhaoxia,female_field hockey,silver,female,Field Hockey
Cheng Hui,female_field hockey,silver,female,Field Hockey
Claudia Burkart,female_field hockey,bronze,female,Field Hockey
Eefke Mulder,female_field hockey,gold,female,Field Hockey
Ellen Hoog,female_field hockey,gold,female,Field Hockey
Eva de Goede,female_field hockey,gold,female,Field Hockey
Fatima Moreira de Melo,female_field hockey,gold,female,Field Hockey
Fu Baorong,female_field hockey,silver,female,Field Hockey
Gao Lihua,female_field hockey,silver,female,Field Hockey
Giselle Kañevsky,female_field hockey,bronze,female,Field Hockey
Huang Junxia,female_field hockey,silver,female,Field Hockey
Janneke Schopman,female_field hockey,gold,female,Field Hockey
Li Hongxia,female_field hockey,silver,female,Field Hockey
Li Shuang,female_field hockey,silver,female,Field Hockey
Lidewij Welten,female_field hockey,gold,female,Field Hockey
Lisanne de Roever,female_field hockey,gold,female,Field Hockey
Luciana Aymar,female_field hockey,bronze,female,Field Hockey
Ma Yibo,female_field hockey,silver,female,Field Hockey
Maartje Goderie,female_field hockey,gold,female,Field Hockey
Maartje Paumen,female_field hockey,gold,female,Field Hockey
Magdalena Aicega,female_field hockey,bronze,female,Field Hockey
Mariana González Oliva,female_field hockey,bronze,female,Field Hockey
Mariana Rossi,female_field hockey,bronze,female,Field Hockey
Marilyn Agliotti,female_field hockey,gold,female,Field Hockey
Mariné Russo,female_field hockey,bronze,female,Field Hockey
María de la Paz Hernández,female_field hockey,bronze,female,Field Hockey
Mercedes Margalot,female_field hockey,bronze,female,Field Hockey
Miek van Geenhuizen,female_field hockey,gold,female,Field Hockey
Minke Booij,female_field hockey,gold,female,Field Hockey
Minke Smeets,female_field hockey,gold,female,Field Hockey
Naomi van As,female_field hockey,gold,female,Field Hockey
Noel Barrionuevo,female_field hockey,bronze,female,Field Hockey
Pan Fengzhen,female_field hockey,silver,female,Field Hockey
Paola Vukojicic,female_field hockey,bronze,female,Field Hockey
Ren Ye,female_field hockey,silver,female,Field Hockey
Rosario Luchetti,female_field hockey,bronze,female,Field Hockey
Soledad García,female_field hockey,bronze,female,Field Hockey
Song Qingling,female_field hockey,silver,female,Field Hockey
Sophie Polkamp,female_field hockey,gold,female,Field Hockey
Tang Chunling,female_field hockey,silver,female,Field Hockey
Wieke Dijkstra,female_field hockey,gold,female,Field Hockey
Zhang Yimeng,female_field hockey,silver,female,Field Hockey
Zhao Yudiao,female_field hockey,silver,female,Field Hockey
Zhou Wanfeng,female_field hockey,silver,female,Field Hockey
Alex Sandro da Silva,male_association football,bronze,male,Association Football
Alexandre Pato,male_association football,bronze,male,Association Football
Ambruse Vanzekin,male_association football,silver,male,Association Football
Anderson,male_association football,bronze,male,Association Football
Breno Borges,male_association football,bronze,male,Association Football
Chibuzor Okonkwo,male_association football,silver,male,Association Football
Chinedu Obasi,male_association football,silver,male,Association Football
Dele Adeleye,male_association football,silver,male,Association Football
Diego Alves,male_association football,bronze,male,Association Football
Diego Buonanotte,male_association football,gold,male,Association Football
Diego Ribas da Cunha,male_association football,bronze,male,Association Football
Efe Ambrose,male_association football,silver,male,Association Football
Emmanuel Ekpo,male_association football,silver,male,Association Football
Ezequiel Garay,male_association football,gold,male,Association Football
Ezequiel Lavezzi,male_association football,gold,male,Association Football
Federico Fazio,male_association football,gold,male,Association Football
Fernando Gago,male_association football,gold,male,Association Football
Hernanes,male_association football,bronze,male,Association Football
Ikechukwu Ezenwa,male_association football,silver,male,Association Football
Ilsinho,male_association football,bronze,male,Association Football
Isaac Promise,male_association football,silver,male,Association Football
Javier Mascherano,male_association football,gold,male,Association Football
José Sosa,male_association football,gold,male,Association Football
Juan Román Riquelme,male_association football,gold,male,Association Football
Jô,male_association football,bronze,male,Association Football
Lautaro Acosta,male_association football,gold,male,Association Football
Lionel Messi,male_association football,gold,male,Association Football
Lucas Leiva,male_association football,bronze,male,Association Football
Luciano Fabián Monzón,male_association football,gold,male,Association Football
Marcel,male_association football,bronze,male,Association Football
Monday James,male_association football,silver,male,Association Football
Nicolás Navarro,male_association football,gold,male,Association Football
Nicolás Pareja,male_association football,gold,male,Association Football
Oladapo Olufemi,male_association football,silver,male,Association Football
Olubayo Adefemi,male_association football,silver,male,Association Football
Oluwafemi Ajilore,male_association football,silver,male,Association Football
Onyekachi Apam,male_association football,silver,male,Association Football
Oscar Ustari,male_association football,gold,male,Association Football
Pablo Zabaleta,male_association football,gold,male,Association Football
Peter Odemwingie,male_association football,silver,male,Association Football
Rafael Sóbis,male_association football,bronze,male,Association Football
Rafinha,male_association football,bronze,male,Association Football
Ramires,male_association football,bronze,male,Association Football
Renan Brito Soares,male_association football,bronze,male,Association Football
Ronaldinho,male_association football,bronze,male,Association Football
Sani Kaita,male_association football,silver,male,Association Football
Sergio Agüero,male_association football,gold,male,Association Football
Sergio Romero,male_association football,gold,male,Association Football
Solomon Okoronkwo,male_association football,silver,male,Association Football
Thiago Neves,male_association football,bronze,male,Association Football
Thiago Silva,male_association football,bronze,male,Association Football
Victor Anichebe,male_association football,silver,male,Association Football
Victor Obinna,male_association football,silver,male,Association Football
Ángel Di María,male_association football,gold,male,Association Football
Éver Banega,male_association football,gold,male,Association Football
Aly Wagner,female_association football,gold,female,Association Football
Amy Rodriguez,female_association football,gold,female,Association Football
Andréia Rosa,female_association football,silver,female,Association Football
Andréia Suntaque,female_association football,silver,female,Association Football
Angela Hucles,female_association football,gold,female,Association Football
Anja Mittag,female_association football,bronze,female,Association Football
Annike Krahn,female_association football,bronze,female,Association Football
Ariane Hingst,female_association football,bronze,female,Association Football
Babett Peter,female_association football,bronze,female,Association Football
Birgit Prinz,female_association football,bronze,female,Association Football
Bárbara Micheline do Monte Barbosa,female_association football,silver,female,Association Football
Carli Lloyd,female_association football,gold,female,Association Football
Christie Pearce,female_association football,gold,female,Association Football
Conny Pohlers,female_association football,bronze,female,Association Football
Cristiane Rozeira,female_association football,silver,female,Association Football
Célia Šašić,female_association football,bronze,female,Association Football
Daniela Alves Lima,female_association football,silver,female,Association Football
Ester,female_association football,silver,female,Association Football
Fabiana Simões,female_association football,silver,female,Association Football
Fatmire Alushi,female_association football,bronze,female,Association Football
Formiga,female_association football,silver,female,Association Football
Francielle,female_association football,silver,female,Association Football
Heather Mitts,female_association football,gold,female,Association Football
Heather O'Reilly,female_association football,gold,female,Association Football
Hope Solo,female_association football,gold,female,Association Football
Kate Markgraf,female_association football,gold,female,Association Football
Kerstin Garefrekes,female_association football,bronze,female,Association Football
Kerstin Stegemann,female_association football,bronze,female,Association Football
Lauren Holiday,female_association football,gold,female,Association Football
Linda Bresonik,female_association football,bronze,female,Association Football
Lindsay Tarpley,female_association football,gold,female,Association Football
Lori Chalupny,female_association football,gold,female,Association Football
Marta,female_association football,silver,female,Association Football
Maurine Dornelles Gonçalves,female_association football,silver,female,Association Football
Maycon,female_association football,silver,female,Association Football
Melanie Behringer,female_association football,bronze,female,Association Football
Nadine Angerer,female_association football,bronze,female,Association Football
Natasha Kai,female_association football,gold,female,Association Football
Nicole Barnhart,female_association football,gold,female,Association Football
Pretinha,female_association football,silver,female,Association Football
Rachel van Hollebeke,female_association football,gold,female,Association Football
Renata Costa,female_association football,silver,female,Association Football
Renate Lingor,female_association football,bronze,female,Association Football
Rosana dos Santos Augusto,female_association football,silver,female,Association Football
Sandra Smisek,female_association football,bronze,female,Association Football
Saskia Bartusiak,female_association football,bronze,female,Association Football
Shannon Boxx,female_association football,gold,female,Association Football
Simone Gomes Jatobá,female_association football,silver,female,Association Football
Simone Laudehr,female_association football,bronze,female,Association Football
Stephanie Cox,female_association football,gold,female,Association Football
Tobin Heath,female_association football,gold,female,Association Football
Tânia Maria Pereira Ribeiro,female_association football,silver,female,Association Football
Ursula Holl,female_association football,bronze,female,Association Football
Érika Cristiano dos Santos,female_association football,silver,female,Association Football
Alexander Artemev,male_artistic gymnastics,bronze,male,Artistic Gymnastics
Anton Fokin,male_artistic gymnastics,bronze,male,Artistic Gymnastics
Anton Golotsutskov,male_artistic gymnastics,bronze,male,Artistic Gymnastics
Benoît Caranobe,male_artistic gymnastics,bronze,male,Artistic Gymnastics
Chen Yibing,male_artistic gymnastics,gold,male,Artistic Gymnastics
Fabian Hambüchen,male_artistic gymnastics,bronze,male,Artistic Gymnastics
Filip Ude,male_artistic gymnastics,silver,male,Artistic Gymnastics
Gervasio Deferr,male_artistic gymnastics,silver,male,Artistic Gymnastics
Hiroyuki Tomita,male_artistic gymnastics,silver,male,Artistic Gymnastics
Huang Xu,male_artistic gymnastics,gold,male,Artistic Gymnastics
Jonathan Horton,male_artistic gymnastics,bronze,male,Artistic Gymnastics
Joseph Hagerty,male_artistic gymnastics,bronze,male,Artistic Gymnastics
Justin Spring,male_artistic gymnastics,bronze,male,Artistic Gymnastics
Kevin Tan,male_artistic gymnastics,bronze,male,Artistic Gymnastics
Koki Sakamoto,male_artistic gymnastics,silver,male,Artistic Gymnastics
Kōhei Uchimura,male_artistic gymnastics,silver,male,Artistic Gymnastics
Leszek Blanik,male_artistic gymnastics,gold,male,Artistic Gymnastics
Li Xiaopeng,male_artistic gymnastics,gold,male,Artistic Gymnastics
Louis Smith,male_artistic gymnastics,bronze,male,Artistic Gymnastics
Makoto Okiguchi,male_artistic gymnastics,silver,male,Artistic Gymnastics
Oleksandr Vorobiov,male_artistic gymnastics,bronze,male,Artistic Gymnastics
Raj Bhavsar,male_artistic gymnastics,bronze,male,Artistic Gymnastics
Takehiro Kashima,male_artistic gymnastics,silver,male,Artistic Gymnastics
Takuya Nakase,male_artistic gymnastics,silver,male,Artistic Gymnastics
Thomas Bouhail,male_artistic gymnastics,silver,male,Artistic Gymnastics
Xiao Qin,male_artistic gymnastics,gold,male,Artistic Gymnastics
Yang Wei,male_artistic gymnastics,gold,male,Artistic Gymnastics
Yoo Won-chul,male_artistic gymnastics,silver,male,Artistic Gymnastics
Zou Kai,male_artistic gymnastics,gold,male,Artistic Gymnastics
Alicia Sacramone,female_artistic gymnastics,silver,female,Artistic Gymnastics
Anamaria Tămârjan,female_artistic gymnastics,bronze,female,Artistic Gymnastics
Andreea Acatrinei,female_artistic gymnastics,bronze,female,Artistic Gymnastics
Andreea Grigore,female_artistic gymnastics,bronze,female,Artistic Gymnastics
Bridget Sloan,female_artistic gymnastics,silver,female,Artistic Gymnastics
Chellsie Memmel,female_artistic gymnastics,silver,female,Artistic Gymnastics
Cheng Fei,female_artistic gymnastics,gold,female,Artistic Gymnastics
Deng Linlin,female_artistic gymnastics,gold,female,Artistic Gymnastics
Gabriela Drăgoi,female_artistic gymnastics,bronze,female,Artistic Gymnastics
He Kexin,female_artistic gymnastics,gold,female,Artistic Gymnastics
Hong Un-jong,female_artistic gymnastics,gold,female,Artistic Gymnastics
Jiang Yuyuan,female_artistic gymnastics,gold,female,Artistic Gymnastics
Li Shanshan,female_artistic gymnastics,gold,female,Artistic Gymnastics
Nastia Liukin,female_artistic gymnastics,gold,female,Artistic Gymnastics
Oksana Chusovitina,female_artistic gymnastics,silver,female,Artistic Gymnastics
Samantha Peszek,female_artistic gymnastics,silver,female,Artistic Gymnastics
Sandra Izbașa,female_artistic gymnastics,bronze,female,Artistic Gymnastics
Shawn Johnson East,female_artistic gymnastics,silver,female,Artistic Gymnastics
Steliana Nistor,female_artistic gymnastics,bronze,female,Artistic Gymnastics
Yang Yilin,female_artistic gymnastics,bronze,female,Artistic Gymnastics
Alina Tumilovich,female_rhythmic gymnastics,bronze,female,Rhythmic Gymnastics
Anastasia Ivankova,female_rhythmic gymnastics,bronze,female,Rhythmic Gymnastics
Anna Bessonova,female_rhythmic gymnastics,bronze,female,Rhythmic Gymnastics
Anna Gavrilenko,female_rhythmic gymnastics,gold,female,Rhythmic Gymnastics
Cai Tong-Tong,female_rhythmic gymnastics,silver,female,Rhythmic Gymnastics
Chou Tao,female_rhythmic gymnastics,silver,female,Rhythmic Gymnastics
Daria Shkurikhina,female_rhythmic gymnastics,gold,female,Rhythmic Gymnastics
Glafira Martinovich,female_rhythmic gymnastics,bronze,female,Rhythmic Gymnastics
Inna Zhukova,female_rhythmic gymnastics,silver,female,Rhythmic Gymnastics
Ksenia Sankovich,female_rhythmic gymnastics,bronze,female,Rhythmic Gymnastics
Lü Yuanyang,female_rhythmic gymnastics,silver,female,Rhythmic Gymnastics
Margarita Aliychuk,female_rhythmic gymnastics,gold,female,Rhythmic Gymnastics
Natalia Zuyeva,female_rhythmic gymnastics,gold,female,Rhythmic Gymnastics
Olesya Babushkina,female_rhythmic gymnastics,bronze,female,Rhythmic Gymnastics
Sui Jianshuang,female_rhythmic gymnastics,silver,female,Rhythmic Gymnastics
Sun Dan,female_rhythmic gymnastics,silver,female,Rhythmic Gymnastics
Tatiana Gorbunova,female_rhythmic gymnastics,gold,female,Rhythmic Gymnastics
Yelena Posevina,female_rhythmic gymnastics,gold,female,Rhythmic Gymnastics
Yevgeniya Kanayeva,female_rhythmic gymnastics,gold,female,Rhythmic Gymnastics
Zhang Shuo,female_rhythmic gymnastics,silver,female,Rhythmic Gymnastics
Zinaida Lunina,female_rhythmic gymnastics,bronze,female,Rhythmic Gymnastics
Dong Dong,male_trampoline gymnastics,bronze,male,Trampoline Gymnastics
Jason Burnett,male_trampoline gymnastics,silver,male,Trampoline Gymnastics
Lu Chunlong,male_trampoline gymnastics,gold,male,Trampoline Gymnastics
Ekaterina Khilko,female_trampoline gymnastics,bronze,female,Trampoline Gymnastics
He Wenna,female_trampoline gymnastics,gold,female,Trampoline Gymnastics
Karen Cockburn,female_trampoline gymnastics,silver,female,Trampoline Gymnastics
Albert Rocas,male_handball,bronze,male,Handball
Alberto Entrerríos,male_handball,bronze,male,Handball
Alexander Petersson,male_handball,silver,male,Handball
Arnór Atlason,male_handball,silver,male,Handball
Bertrand Gille,male_handball,gold,male,Handball
Björgvin Páll Gústavsson,male_handball,silver,male,Handball
Carlos Prieto Martos,male_handball,bronze,male,Handball
Christophe Kempé,male_handball,gold,male,Handball
Cristian Malmagro,male_handball,bronze,male,Handball
Cédric Burdet,male_handball,gold,male,Handball
Cédric Paty,male_handball,gold,male,Handball
Daniel Narcisse,male_handball,gold,male,Handball
Daouda Karaboué,male_handball,gold,male,Handball
David Barrufet,male_handball,bronze,male,Handball
David Davis,male_handball,bronze,male,Handball
Demetrio Lozano,male_handball,bronze,male,Handball
Didier Dinart,male_handball,gold,male,Handball
Guillaume Gille,male_handball,gold,male,Handball
Guðjón Valur Sigurðsson,male_handball,silver,male,Handball
Hreiðar Guðmundsson,male_handball,silver,male,Handball
Iker Romero,male_handball,bronze,male,Handball
Ingimundur Ingimundarson,male_handball,silver,male,Handball
Jon Belaustegui,male_handball,bronze,male,Handball
José Javier Hombrados,male_handball,bronze,male,Handball
Joël Abati,male_handball,gold,male,Handball
Juanín García,male_handball,bronze,male,Handball
Jérôme Fernandez,male_handball,gold,male,Handball
Logi Geirsson,male_handball,silver,male,Handball
Luc Abalo,male_handball,gold,male,Handball
Michaël Guigou,male_handball,gold,male,Handball
Nikola Karabatić,male_handball,gold,male,Handball
Olivier Girault,male_handball,gold,male,Handball
Raúl Entrerríos,male_handball,bronze,male,Handball
Rubén Garabaya,male_handball,bronze,male,Handball
Róbert Gunnarsson,male_handball,silver,male,Handball
Sigfús Sigurðsson,male_handball,silver,male,Handball
Snorri Guðjónsson,male_handball,silver,male,Handball
Sturla Ásgeirsson,male_handball,silver,male,Handball
Sverre Andreas Jakobsson,male_handball,silver,male,Handball
Thierry Omeyer,male_handball,gold,male,Handball
Víctor Tomás,male_handball,bronze,male,Handball
Ásgeir Örn Hallgrímsson,male_handball,silver,male,Handball
Ólafur Stefánsson,male_handball,silver,male,Handball
An Jung-Hwa,female_handball,bronze,female,Handball
Anna Kareyeva,female_handball,silver,female,Handball
Bae Min-hee,female_handball,bronze,female,Handball
Choi Im-jeong,female_handball,bronze,female,Handball
Else-Marthe Sørlie Lybekk,female_handball,gold,female,Handball
Emiliya Turey,female_handball,silver,female,Handball
Gro Hammerseng-Edin,female_handball,gold,female,Handball
Gøril Snorroeggen,female_handball,gold,female,Handball
Hong Jeong-ho,female_handball,bronze,female,Handball
Huh Soon-young,female_handball,bronze,female,Handball
Inna Suslina,female_handball,silver,female,Handball
Irina Bliznova,female_handball,silver,female,Handball
Irina Dibirova,female_handball,silver,female,Handball
Kari Aalvik Grimsbø,female_handball,gold,female,Handball
Kari Mette Johansen,female_handball,gold,female,Handball
Karoline Dyhre Breivang,female_handball,gold,female,Handball
Katja Nyberg,female_handball,gold,female,Handball
Katrine Lunde,female_handball,gold,female,Handball
Kim Cha-youn,female_handball,bronze,female,Handball
Kim Nam-sun,female_handball,bronze,female,Handball
Kim On-a,female_handball,bronze,female,Handball
Kristine Lunde-Borgersen,female_handball,gold,female,Handball
Lee Min-hee,female_handball,bronze,female,Handball
Linn-Kristin Riegelhuth Koren,female_handball,gold,female,Handball
Lyudmila Postnova,female_handball,silver,female,Handball
Maria Sidorova,female_handball,silver,female,Handball
Marit Malm Frafjord,female_handball,gold,female,Handball
Moon Pil-hee,female_handball,bronze,female,Handball
Natalia Shipilova,female_handball,silver,female,Handball
Oh Seong-ok,female_handball,bronze,female,Handball
Oh Yong-ran,female_handball,bronze,female,Handball
Oxana Romenskaya,female_handball,silver,female,Handball
Park Chung-hee,female_handball,bronze,female,Handball
Ragnhild Aamodt,female_handball,gold,female,Handball
Song Hai-rim,female_handball,bronze,female,Handball
Tonje Larsen,female_handball,gold,female,Handball
Tonje Nøstvold,female_handball,gold,female,Handball
Yana Uskova,female_handball,silver,female,Handball
Yekaterina Andryushina,female_handball,silver,female,Handball
Yekaterina Marennikova,female_handball,silver,female,Handball
Yelena Dmitriyeva,female_handball,silver,female,Handball
Yelena Polenova,female_handball,silver,female,Handball
Abdullo Tangriev,male_judo,silver,male,Judo
Amar Benikhlef,male_judo,silver,male,Judo
Askhat Zhitkeyev,male_judo,silver,male,Judo
Benjamin Darbelet,male_judo,silver,male,Judo
Choi Min-ho,male_judo,gold,male,Judo
Elnur Mammadli,male_judo,gold,male,Judo
Henk Grol,male_judo,bronze,male,Judo
Hesham Mesbah,male_judo,bronze,male,Judo
Irakli Tsirekidze,male_judo,gold,male,Judo
Kim Jae-bum,male_judo,silver,male,Judo
Leandro Guilheiro,male_judo,bronze,male,Judo
Ludwig Paischer,male_judo,silver,male,Judo
Masato Uchishiba,male_judo,gold,male,Judo
Movlud Miraliyev,male_judo,bronze,male,Judo
Naidangiin Tüvshinbayar,male_judo,gold,male,Judo
Ole Bischof,male_judo,gold,male,Judo
Pak Chol-Min,male_judo,bronze,male,Judo
Rasul Boqiev,male_judo,bronze,male,Judo
Rishod Sobirov,male_judo,bronze,male,Judo
Roman Hontyuk,male_judo,bronze,male,Judo
Ruben Houkes,male_judo,bronze,male,Judo
Satoshi Ishii,male_judo,gold,male,Judo
Sergei Aschwanden,male_judo,bronze,male,Judo
Teddy Riner,male_judo,bronze,male,Judo
Tiago Camilo,male_judo,bronze,male,Judo
Wang Ki-chun,male_judo,silver,male,Judo
Yordanis Arencibia,male_judo,bronze,male,Judo
Óscar Brayson,male_judo,bronze,male,Judo
Alina Dumitru,female_judo,gold,female,Judo
An Kum-ae,female_judo,silver,female,Judo
Anaysi Hernández,female_judo,silver,female,Judo
Ayumi Tanimoto,female_judo,gold,female,Judo
Deborah Gravenstijn,female_judo,silver,female,Judo
Edith Bosch,female_judo,bronze,female,Judo
Elisabeth Willeboordse,female_judo,bronze,female,Judo
Giulia Quintavalle,female_judo,gold,female,Judo
Idalys Ortiz,female_judo,bronze,female,Judo
Jeong Gyeong-mi,female_judo,bronze,female,Judo
Ketleyn Quadros,female_judo,bronze,female,Judo
Lucie Décosse,female_judo,silver,female,Judo
Lucija Polavder,female_judo,bronze,female,Judo
Maki Tsukada,female_judo,silver,female,Judo
Masae Ueno,female_judo,gold,female,Judo
Misato Nakamura,female_judo,bronze,female,Judo
Paula Pareto,female_judo,bronze,female,Judo
Ronda Rousey,female_judo,bronze,female,Judo
Ryoko Tani,female_judo,bronze,female,Judo
Soraya Haddad,female_judo,bronze,female,Judo
Stéphanie Possamaï,female_judo,bronze,female,Judo
Tong Wen,female_judo,gold,female,Judo
Won Ok-Im,female_judo,bronze,female,Judo
Xian Dongmei,female_judo,gold,female,Judo
Xu Yan,female_judo,bronze,female,Judo
Yalennis Castillo,female_judo,silver,female,Judo
Yanet Bermoy,female_judo,silver,female,Judo
Yang Xiuli,female_judo,gold,female,Judo
Andrejus Zadneprovskis,male_modern pentathlon,bronze,male,Modern Pentathlon
Andrey Moiseyev,male_modern pentathlon,gold,male,Modern Pentathlon
Edvinas Krungolcas,male_modern pentathlon,silver,male,Modern Pentathlon
Heather Fell,female_modern pentathlon,silver,female,Modern Pentathlon
Lena Schöneborn,female_modern pentathlon,gold,female,Modern Pentathlon
Acer Nethercott,male_rowing,silver,male,Rowing
Adam Korol,male_rowing,gold,male,Rowing
Adam Kreek,male_rowing,gold,male,Rowing
Alastair Heathcote,male_rowing,silver,male,Rowing
Alex Partridge,male_rowing,silver,male,Rowing
Andrew Byrnes,male_rowing,gold,male,Rowing
Andrew Triggs Hodge,male_rowing,gold,male,Rowing
Bartłomiej Pawełczak,male_rowing,silver,male,Rowing
Beau Hoopman,male_rowing,bronze,male,Rowing
Ben Rutledge,male_rowing,gold,male,Rowing
Benjamin Rondeau,male_rowing,bronze,male,Rowing
Brian Price,male_rowing,gold,male,Rowing
Bryan Volpenhein,male_rowing,bronze,male,Rowing
Cameron McKenzie-McHarg,male_rowing,silver,male,Rowing
Colin Smith,male_rowing,silver,male,Rowing
Cédric Berrest,male_rowing,bronze,male,Rowing
Daniel Walsh,male_rowing,bronze,male,Rowing
David Calder,male_rowing,silver,male,Rowing
David Crawshay,male_rowing,gold,male,Rowing
Dimitris Mougios,male_rowing,silver,male,Rowing
Dominic Seiterle,male_rowing,gold,male,Rowing
Dorian Mortelette,male_rowing,bronze,male,Rowing
Drew Ginn,male_rowing,gold,male,Rowing
Duncan Free,male_rowing,gold,male,Rowing
Eskild Ebbesen,male_rowing,gold,male,Rowing
Francis Hegerty,male_rowing,silver,male,Rowing
George Bridgewater,male_rowing,bronze,male,Rowing
Germain Chardin,male_rowing,bronze,male,Rowing
Iain Brambell,male_rowing,bronze,male,Rowing
Jake Wetzel,male_rowing,gold,male,Rowing
James Marburg,male_rowing,silver,male,Rowing
Jon Beare,male_rowing,bronze,male,Rowing
Jonathan Coeffic,male_rowing,bronze,male,Rowing
